Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Nigeria,2007,Diabetes,Infectious,8.92,13.19,5.52,36-60,Female,227849,84.41,1.37,9.57,Therapy,45685,No,68.02,423,3.98,60608,0.61,68.17
Japan,2021,Diabetes,Autoimmune,11.24,4.78,5.68,19-35,Male,947147,66.78,4.46,1.2,Surgery,20397,Yes,98.55,4994,7.43,93229,0.64,46.04
UK,2010,Diabetes,Genetic,10.58,12.3,2.37,0-18,Female,822231,66.36,1.31,9.32,Surgery,4533,Yes,52.91,4187,3.67,3239,0.52,71.13
France,2005,Diabetes,Metabolic,6.09,10.77,1.42,19-35,Other,267802,95.85,3.42,9.14,Medication,27027,No,82.82,3580,9.46,66816,0.6,48.75
Nigeria,2010,Diabetes,Cardiovascular,18.17,6.2,2.12,19-35,Female,985553,88.65,3.82,5.76,Therapy,14348,No,88.66,1984,4.35,45639,0.51,73.39
USA,2012,Diabetes,Chronic,4.9,6.6,6.16,61+,Female,438583,53.83,1.33,5.89,Surgery,40367,Yes,95.01,1674,5.37,48607,0.74,80.33
Brazil,2024,Diabetes,Genetic,0.73,9.28,1.09,19-35,Male,4233,54.43,2.58,3.1,Therapy,2078,No,61.8,386,3.23,73287,0.74,25.44
Russia,2021,Diabetes,Autoimmune,14.29,1.57,7.12,0-18,Female,920061,70.1,2.61,4.03,Vaccination,38676,No,87.97,2370,0.24,87314,0.75,39.47
Russia,2017,Diabetes,Respiratory,15.96,10.06,5.16,19-35,Male,753582,61.65,2.47,5.49,Medication,48049,No,58.86,4099,1.28,48858,0.59,75.36
Saudi Arabia,2007,Diabetes,Parasitic,5.5,14.36,9.2,19-35,Other,546335,71.61,3.51,8.95,Surgery,37978,No,54.99,3313,4.68,65831,0.71,38.02
Nigeria,2017,Diabetes,Parasitic,12.36,13.74,2.65,61+,Male,66129,93.82,4.61,1.86,Surgery,25753,Yes,94.81,1792,5.5,67111,0.8,52.95
UK,2011,Diabetes,Genetic,5.72,10.06,1.41,19-35,Female,161946,67.48,4.25,6.16,Therapy,9037,No,80.78,1377,6.2,91002,0.41,72.18
Saudi Arabia,2002,Diabetes,Cardiovascular,10.88,1.36,7.36,61+,Female,747469,83.96,4.02,6.89,Medication,38584,Yes,97.16,1287,6.48,33433,0.83,51.69
UK,2020,Diabetes,Bacterial,0.64,7.28,1.91,19-35,Male,140343,53.97,1.9,9.73,Vaccination,33721,No,95.04,2041,6.01,58838,0.5,36.66
Russia,2021,Diabetes,Chronic,15.84,11.62,2.26,61+,Female,717792,82.71,3.15,0.52,Medication,13191,Yes,68.02,3343,3.23,94326,0.79,32.73
South Africa,2023,Diabetes,Viral,1.61,15.0,7.66,36-60,Other,353105,57.01,3.38,1.03,Medication,21433,No,74.88,3859,7.5,77985,0.54,56.89
USA,2000,Diabetes,Neurological,9.89,3.4,3.37,0-18,Male,388394,98.27,3.62,1.2,Vaccination,3212,Yes,76.79,4774,0.77,89940,0.86,47.74
Australia,2005,Diabetes,Genetic,13.82,4.68,0.65,0-18,Other,508290,77.36,4.16,3.05,Surgery,17159,No,67.28,2370,8.6,17194,0.57,41.49
Italy,2004,Diabetes,Viral,3.96,11.16,3.94,19-35,Female,953056,62.92,0.65,2.02,Medication,9466,No,91.09,214,9.18,35470,0.5,28.52
